# maxrange N1 N2 finalcard time(s)
12796157 6922833 1015791 9841418 0.712543 
6401947 896915 391248 1707735 0.180219 
1035021 244718 423767 433439 0.033592 
19485054 15623576 5540534 18491648 1.313605 
15035325 10790131 4489291 13740249 0.989189 
11653516 6444690 10209307 9380566 0.687623 
7746139 1195193 5566291 2068904 0.186566 
13582338 4187032 6574236 7182202 0.617637 
6039021 5066271 5199297 5887992 0.427867 
1784812 817043 1778921 1248618 0.085283 
2692685 1078886 35459 1760201 0.126255 
3324176 900411 3026439 1477993 0.121719 
6199759 5598594 1906614 6117114 0.430573 
4593499 1802993 1003686 2706942 0.222754 
8663950 6140936 3785710 7735319 0.549632 
5367818 19841 4132051 39397 0.002848 
12740049 3453698 7878 6109412 0.526941 
19041805 18227299 7723871 19009787 1.333639 
6077375 1643205 3623989 2681816 0.220494 
4133589 22582 553827 45015 0.003312 
9544918 7738379 1519836 9231505 0.663398 
7844822 1843650 4378983 3292115 0.309301 
3124030 1616373 2784804 2361244 0.166621 
11530126 2981095 3865106 5337300 0.475090 
3550253 3364682 654151 3540505 0.249161 
13327814 1112201 7157057 2148706 0.269648 
5138377 68678 5116707 136395 0.010380 
1727088 195687 1108430 374489 0.031813 
19806732 14924610 9876377 18318075 1.323575 
9400346 1956083 1663179 3564894 0.375428 
17745691 9680114 8492887 13453239 0.981359 
5122573 1724576 4703769 2783392 0.221712 
10449291 5364509 1528728 8144785 0.573397 
7277217 6045561 1638422 7102378 0.503636 
2575055 1335305 667023 2014449 0.139398 
11378130 8920284 4263701 10978944 0.781295 
10372661 97822 6547279 194707 0.016050 
7304789 1922319 1565942 3200816 0.290310 
15756851 15056579 5777253 15708806 1.109227 
1767868 1508191 157769 1732540 0.121410 
19639006 6795751 10684219 11283323 0.915373 
12062949 10762517 2212342 11871792 0.844476 
14880226 14279983 8443043 14838544 1.042021 
14290596 10323189 6159673 13375702 0.980512 
14887560 14256716 9797795 14869049 1.042921 
10367770 3681258 1272281 6008805 0.473287 
1066342 952506 12724 1055679 0.065659 
17272379 16467444 10896580 17216171 1.216881 
12994984 9820564 9471587 11855172 0.855851 
19344234 15269086 3566391 18663874 1.336508 
12970072 3516894 12335614 5784745 0.465338 
10901063 10769362 7606359 10898646 0.770140 
1250573 404631 926513 685241 0.050355 
8057522 7257947 7264108 8048050 0.563385 
2945082 1891893 1621230 2589820 0.190162 
5829204 371506 1059543 722166 0.073174 
19411898 7284298 18745330 11861256 0.985958 
16684278 4348201 7875296 7197674 0.644470 
9679262 5310421 3615505 7676101 0.546269 
1539848 319347 963796 572786 0.049380 
7026272 5143842 1861546 6526782 0.470943 
17927335 16661101 11972077 17790026 1.244795 
18909365 15009097 15204511 18362689 1.302230 
15311776 4677645 7882562 7717666 0.663398 
13938701 12479889 2170802 13770435 0.968981 
15209933 3374123 11690458 6093814 0.659308 
12862806 2469943 1157196 4360445 0.433886 
9547084 2255872 2667822 3995285 0.394949 
11742698 543541 7952616 1047784 0.126093 
5798898 811967 4037982 1496408 0.146327 
12825171 11624208 7156511 12745433 0.899660 
10752506 4082882 4575598 6677105 0.514087 
2178224 1578821 1456971 1949568 0.135825 
17490000 17083378 10108109 17483555 1.231873 
3945053 3131230 456606 3703577 0.258430 
11671338 6516767 2618652 8980572 0.643740 
12028067 364142 3673910 717969 0.077792 
7776787 519488 2722995 973882 0.107589 
2292122 1648205 470507 2064255 0.146052 
11884850 74979 7806640 149487 0.011694 
15202254 12293634 3321795 14770051 1.035819 
10973813 555476 6131129 1083282 0.148672 
13199181 10655008 13030770 12864823 0.924028 
19015720 759433 2488902 1483797 0.224155 
3590181 1536219 1128917 2302494 0.180318 
15079296 2407545 6360028 4471207 0.548192 
6138722 596458 5321171 1148361 0.110174 
14230297 12211817 12666265 13915107 0.992691 
1443181 842299 411574 1204884 0.076209 
2767057 2424454 1885193 2740790 0.190811 
7859999 7681999 2572336 7857052 0.556267 
9475776 3206938 6090161 5108552 0.405030 
15191309 3759541 3722336 6732317 0.631486 
6723382 5177915 4396042 6392022 0.448491 
10313563 2949332 6047599 4714572 0.455731 
17909211 15359227 9928243 17627253 1.232994 
16564285 11912405 15307490 15433822 1.127833 
10794583 2948990 6565662 5135336 0.436378 
4754116 648064 2520188 1235328 0.105203 
7395528 5552743 5575277 6843802 0.492859 
5897490 3456446 2126460 4742231 0.335824 
7889618 791819 7019411 1508232 0.170089 
3080928 482838 1537437 862982 0.089837 
9804310 8158485 2002798 9600577 0.699322 
12634225 3859940 4684170 6481693 0.541007 
10543437 5352113 3593166 7604386 0.539252 
7107722 4098657 3372968 6010248 0.422153 
10418657 5535919 2033953 7865823 0.560623 
7689126 817409 148495 1548776 0.197824 
7726651 7453431 4398160 7713591 0.547571 
8140528 3828143 214414 6009730 0.409084 
9241888 5470818 8785897 7765715 0.558986 
1928577 3792 352542 7579 0.000488 
6755199 546592 1679569 1043019 0.104490 
11126087 8662686 1694880 10737431 0.751916 
4400657 405861 287001 778065 0.089191 
16377017 6072641 1904729 9419014 0.801896 
16491298 11649152 8727673 15010078 1.100001 
16696776 12571925 7271818 15581163 1.124757 
4423428 3723842 559624 4319255 0.300733 
5080308 1290233 3147670 2318703 0.189129 
14322197 12140962 3337244 14014193 0.984983 
16250774 1233689 9013978 2360449 0.347042 
15522325 14493622 6269458 15444808 1.083259 
