# maxrange N1 N2 finalcard time(s)
9678468 455228 8722492 8785959 0.024153 
18982933 2798570 13098254 14051593 0.044104 
13213171 109005 2473447 2564351 0.004861 
5040140 1322185 4578781 4677698 0.020551 
17572761 14933990 5465638 15636856 0.057697 
10210050 4664000 4340654 6639824 0.034900 
19461075 10393114 6944842 13740810 0.076088 
7235624 3917859 1632927 4733027 0.018347 
12456289 5334678 9429955 10910380 0.051703 
19451238 12011839 9060120 15381672 0.089606 
12125383 5461803 8026365 9693252 0.054244 
10526343 8435622 5788501 9572769 0.060784 
10365981 768237 778350 1467570 0.005175 
3068011 23064 308140 329386 0.000625 
10090192 6366193 1345926 6916297 0.025194 
1756868 747555 35118 761844 0.001355 
17683174 5162591 3283370 7530179 0.035124 
16005216 1868255 1207289 2859721 0.010366 
16945487 7917441 10069963 13305882 0.071796 
10238957 8642555 4097296 9135824 0.045530 
12713933 10662740 11760114 12605411 0.051895 
17293418 3713119 10392957 12235020 0.048607 
2971726 2256132 2396106 2887780 0.011932 
16925393 15783267 14967084 16763250 0.059949 
10372305 8770100 7519419 9960710 0.051433 
11269559 11199079 1126701 11205104 0.033884 
4734562 135480 4226957 4232569 0.011223 
3384280 756321 2129102 2406726 0.008913 
5593010 991880 5170896 5217310 0.017644 
4027583 1277222 421139 1500615 0.004298 
1303708 966123 492706 1126350 0.004915 
12132557 115327 2515138 2611218 0.005019 
2980710 489920 2971835 2973935 0.010107 
19577690 1591373 9278751 10073466 0.034951 
6963638 4247032 5279097 6076010 0.028388 
15227667 9709125 14508653 14967291 0.063291 
7096180 4129283 4742535 6167034 0.030554 
9513899 632719 4469208 4817732 0.014500 
14749154 7464230 6627317 10464095 0.058956 
15258232 2063177 1606318 3405187 0.013531 
10492373 10100865 1439936 10175320 0.033475 
17609663 11014602 16412671 17157255 0.078505 
14620094 2346453 10343321 10967844 0.042503 
16922351 16005186 516404 16028673 0.032802 
2551742 1578900 1827434 2283095 0.012427 
19147515 397544 15325870 15397950 0.032180 
15950186 3786627 6138873 8385174 0.035635 
15675634 5171597 5719877 8197890 0.039876 
1812722 1148949 1626273 1724632 0.007132 
16339643 8105430 9803513 13263654 0.054740 
9495354 3652188 1923698 4859360 0.026474 
6510139 5509309 4758032 6201059 0.030829 
4677418 2733661 723848 2998890 0.010412 
19485269 11458150 12226369 16433901 0.094934 
15342733 9119217 8437444 12449443 0.066597 
7654819 2622551 6086273 6340009 0.026536 
7691087 6817156 100669 6823639 0.013604 
12702450 389087 4462552 4717491 0.014170 
13556837 7461377 7800715 11094039 0.065396 
8363610 1044575 6454460 6650471 0.019017 
13666704 4261039 4734061 7351976 0.038545 
10769829 306139 3824719 3996440 0.009859 
4321892 3209153 3425018 4034136 0.017504 
17303605 10194293 3360059 11578174 0.056604 
14325361 2281113 9966971 10327083 0.038958 
9834447 312654 696188 979456 0.003363 
11574882 6820381 6785445 9631081 0.060511 
11675551 6678263 9139633 10239770 0.053250 
19650353 19183894 9694003 19355282 0.094013 
2764794 1690382 1988358 2498657 0.013167 
16277107 12803952 9508931 14964612 0.077171 
10679664 9884977 4464596 10155152 0.053855 
16098480 8833206 6045834 11598977 0.073738 
12186354 11474759 5660027 11826315 0.063675 
10832933 6806184 10255786 10696892 0.041529 
7106312 4754579 485473 4893962 0.013811 
5186709 3072614 2370542 4173351 0.016123 
15991608 4334557 7487073 9400733 0.053812 
7712995 4192682 384101 4345712 0.014514 
7196295 341299 5095589 5212615 0.012702 
18264801 17509631 3783368 17636094 0.073358 
15446571 14555098 1971523 14682649 0.045120 
5251743 1322768 4265242 4481038 0.017852 
4874089 4813026 1116933 4823467 0.017719 
13798878 11462544 4729836 12042746 0.056658 
19885196 13301740 127061 13357061 0.026846 
3304213 3068287 2446956 3231861 0.014463 
4263370 3386824 2721928 3928243 0.019055 
15465115 9472231 12684107 14463331 0.074827 
2982639 1683767 1761624 2478778 0.014088 
2663198 98856 2599371 2602027 0.005432 
13206202 9545887 9461389 12325172 0.065962 
12865128 8728529 6022084 10310266 0.049053 
10994571 9906104 2352716 10209311 0.040655 
4898138 3885071 2747999 4477944 0.025656 
1417540 436301 1029252 1151383 0.004886 
10387226 8707830 509366 8799666 0.025767 
10865725 10791731 3540677 10800156 0.044158 
12077645 743327 10294641 10387494 0.032031 
13673339 9094092 5981847 11083675 0.074253 
18417603 16856275 7386911 17657040 0.087867 
2587542 482002 955433 1257237 0.005102 
9379174 2054586 8504970 8694561 0.035147 
7407330 121627 6986344 6989877 0.015964 
16342013 14795561 10254933 15742577 0.082531 
12048860 8530150 5087032 10025325 0.047257 
9117832 3445180 6202527 7303104 0.033449 
5251990 2144303 2523825 3778608 0.016577 
8959295 5641263 2481337 6428292 0.031281 
7952741 2189420 4261859 5185243 0.021897 
1944976 1201964 64216 1227002 0.002479 
9200801 4138256 5878755 7387909 0.042244 
10199492 2073013 3781736 5127804 0.026977 
17676440 5084699 12263003 13912622 0.056716 
16505735 10054409 16471218 16491473 0.065210 
13002606 11703442 1157139 11806420 0.031621 
7052251 1094090 4837870 5065573 0.017541 
9442530 3017209 428164 3310204 0.008521 
16953165 8553971 13542677 15870545 0.073994 
17565625 7561079 5416466 9966939 0.057097 
14262547 9496561 13993202 14169496 0.065446 
9707131 1161120 5976395 6373445 0.024951 
9621931 1031056 6301084 6771602 0.021098 
19388427 16179312 17199593 19101127 0.089423 
2517543 1609669 464512 1783430 0.006769 
16423768 11887155 10489383 14694334 0.076326 
2524643 166981 2409802 2416720 0.005462 
11207394 4251682 1118858 4765749 0.020105 
5854098 2219340 5619254 5689260 0.023974 
11058752 7301375 4173874 8600708 0.057087 
8149010 1409655 2903759 3802395 0.016350 
17856142 9863286 8506584 13815400 0.066903 
19994425 7655097 16871878 18282731 0.081524 
19382853 13993020 2856441 14623082 0.048047 
14416748 6629583 5869100 10461099 0.047616 
10840516 8387298 69540 8397768 0.020431 
13365159 13221044 1757732 13233460 0.039996 
4572553 1334025 3103595 3519439 0.013838 
2943003 2686060 578234 2729887 0.009164 
6518107 6028744 4314163 6379348 0.026017 
19529154 14184707 19278742 19451880 0.081132 
19592334 106623 13534299 13566835 0.027674 
16976784 12723516 15669405 16657592 0.070235 
13781763 11176697 3621358 12149021 0.047164 
4546560 2981181 2648454 3908449 0.015719 
5185185 1313562 3395135 3963501 0.013193 
13595097 10798528 2115860 11023295 0.040343 
19373349 14824568 16202248 18472626 0.087785 
4852634 4601834 4130930 4787791 0.019617 
8808585 5955270 5996060 7738173 0.039174 
8034986 696332 7797802 7815928 0.020608 
16237892 6468984 8332237 11401721 0.058294 
6389569 4775268 3228263 5619335 0.025832 
11596366 9788523 6476415 10904755 0.054930 
5222833 2610174 5147558 5175009 0.022345 
7073847 3589404 2835593 5046778 0.024002 
16941062 15898476 2852483 16024800 0.050956 
8830763 356788 611619 950616 0.002863 
13683397 1786660 4026191 5449409 0.017279 
2491982 2075436 1021366 2244615 0.008907 
3043320 1056706 37278 1085820 0.002229 
11797565 8344324 9544109 11054345 0.053181 
18187134 340454 14623384 14697876 0.031704 
2299853 1460805 1207783 2078900 0.008538 
7522686 7404372 3039000 7452769 0.036157 
14596534 906175 5320158 5628886 0.017414 
14618834 2606441 1852706 4149974 0.013157 
16095815 15037234 8125346 15666085 0.059846 
9352324 8512850 8164457 9247955 0.039011 
11099451 3392184 46223 3415596 0.008328 
1869343 551419 697304 1059271 0.005023 
15375861 10512448 10699217 13509004 0.065611 
15705360 5599768 5818439 9680328 0.050062 
6938620 6573621 1585393 6678987 0.024362 
3886628 1171171 2861512 3070273 0.011318 
18483162 6476474 17090630 17678912 0.065310 
13101996 642787 6559962 6865248 0.017537 
9197811 8667053 2295793 8719199 0.031118 
11066487 6665676 7451975 9869886 0.064584 
14682290 1477410 7763963 8380556 0.029254 
16551633 12084901 8915287 14655622 0.089481 
11927494 1782821 4288607 5387917 0.025544 
7632854 1311180 3681196 4352648 0.017679 
14571475 968398 1097438 1934173 0.007549 
7110751 4032442 763617 4284028 0.014616 
10014811 5812994 4552810 7722509 0.044573 
16768681 3729874 7391583 9253198 0.047269 
4048977 2637961 2974341 3662309 0.017915 
15115464 1751281 253490 1971879 0.004614 
2314107 389343 1929127 1998499 0.006053 
18865740 2708851 10329483 11141615 0.042825 
3309587 1541722 347288 1727033 0.005497 
3458793 2384531 2043516 3059921 0.016384 
10546620 3679094 8189911 9065178 0.043802 
17657371 6898013 12203225 13823015 0.067202 
14769883 354155 2695205 2983525 0.007170 
17104697 2554737 12370156 12709629 0.040593 
1153674 432453 868919 982517 0.004344 
8785490 8762557 3840772 8777623 0.034680 
3615949 3266649 1334477 3400420 0.015668 
2481690 1261352 1024127 1708721 0.008462 
18307629 13487189 880369 13691901 0.035908 
1766422 921228 418308 1121805 0.005437 
12313043 5897977 12293867 12303329 0.047294 
2486766 46695 2238190 2241827 0.004283 
15191653 5499995 4819607 8014636 0.036352 
4665220 1848797 2679964 3498834 0.014784 
14631287 2377951 6471239 7387976 0.028855 
18078721 1032958 4471292 5228926 0.018266 
16707205 8937437 8654623 13794549 0.056650 
16492728 5708801 10828250 13081599 0.066572 
6647227 4664049 280243 4763207 0.011988 
16139563 15341173 10674738 15876929 0.082607 
5277883 1220762 1666475 2390771 0.012483 
18128223 16079075 5261992 16787010 0.082678 
