# maxrange N1 N2 finalcard time(s)
7746139 1195193 5566291 2196562 0.023907 
13582338 4187032 6574236 6448084 0.089955 
6039021 5066271 5199297 5849799 0.066885 
1784812 817043 1778921 1251585 0.017351 
2692685 1078886 35459 1756988 0.022165 
3324176 900411 3026439 1558552 0.017943 
6199759 5598594 1906614 6145691 0.062287 
4593499 1802993 1003686 2912784 0.038404 
8663950 6140936 3785710 8036628 0.100038 
5367818 19841 4132051 39651 0.000372 
12740049 3453698 7878 6085352 0.083203 
19041805 18227299 7723871 19014804 0.250179 
6077375 1643205 3623989 2690007 0.028419 
4133589 22582 553827 44986 0.000408 
9544918 7738379 1519836 9382261 0.123513 
7844822 1843650 4378983 3156698 0.036348 
3124030 1616373 2784804 2364237 0.031931 
11530126 2981095 3865106 5177145 0.072025 
3550253 3364682 654151 3538899 0.027950 
13327814 1112201 7157057 2034576 0.020173 
5138377 68678 5116707 136522 0.001164 
1727088 195687 1108430 365984 0.003233 
19806732 14924610 9876377 18827004 0.298458 
9400346 1956083 1663179 3366154 0.039858 
17745691 9680114 8492887 13902660 0.203539 
5122573 1724576 4703769 2851872 0.035402 
10449291 5364509 1528728 8136835 0.115764 
7277217 6045561 1638422 7119136 0.080487 
2575055 1335305 667023 2010236 0.024816 
11378130 8920284 4263701 10770037 0.142834 
10372661 97822 6547279 191192 0.001664 
7304789 1922319 1565942 3092954 0.034232 
15756851 15056579 5777253 15714678 0.167920 
1767868 1508191 157769 1715317 0.016565 
19639006 6795751 10684219 10574072 0.158726 
12062949 10762517 2212342 11933997 0.134107 
14880226 14279983 8443043 14854719 0.143673 
14290596 10323189 6159673 13157581 0.195798 
14887560 14256716 9797795 14852225 0.150862 
10367770 3681258 1272281 5954304 0.075096 
1066342 952506 12724 1057617 0.010449 
17272379 16467444 10896580 17237315 0.239284 
12994984 9820564 9471587 12270142 0.169232 
19344234 15269086 3566391 18662587 0.306364 
12970072 3516894 12335614 5927733 0.075323 
10901063 10769362 7606359 10898920 0.105573 
1250573 404631 926513 652035 0.006718 
8057522 7257947 7264108 7976510 0.077706 
2945082 1891893 1621230 2620742 0.036034 
5829204 371506 1059543 724989 0.006428 
19411898 7284298 18745330 11279777 0.139868 
16684278 4348201 7875296 7737999 0.079206 
9679262 5310421 3615505 7783346 0.109583 
1539848 319347 963796 550406 0.006453 
7026272 5143842 1861546 6299101 0.073452 
17927335 16661101 11972077 17846067 0.257083 
18909365 15009097 15204511 17812229 0.256826 
15311776 4677645 7882562 7739736 0.083128 
13938701 12479889 2170802 13793993 0.153263 
15209933 3374123 11690458 6272856 0.057232 
12862806 2469943 1157196 4496038 0.055758 
9547084 2255872 2667822 4149692 0.037849 
11742698 543541 7952616 1065024 0.009739 
5798898 811967 4037982 1535863 0.013748 
12825171 11624208 7156511 12724536 0.136282 
10752506 4082882 4575598 6326314 0.092385 
2178224 1578821 1456971 2010620 0.022005 
17490000 17083378 10108109 17479425 0.230990 
3945053 3131230 456606 3788512 0.039995 
11671338 6516767 2618652 8925259 0.142197 
12028067 364142 3673910 702931 0.006362 
7776787 519488 2722995 1008680 0.009505 
2292122 1648205 470507 2108893 0.029156 
11884850 74979 7806640 148105 0.001261 
15202254 12293634 3321795 14549758 0.176070 
10973813 555476 6131129 1085961 0.009955 
13199181 10655008 13030770 12615197 0.154927 
19015720 759433 2488902 1502308 0.013376 
3590181 1536219 1128917 2355304 0.033228 
15079296 2407545 6360028 4447035 0.050000 
6138722 596458 5321171 1143363 0.010654 
14230297 12211817 12666265 13957018 0.156360 
1443181 842299 411574 1180938 0.015453 
2767057 2424454 1885193 2720931 0.031496 
7859999 7681999 2572336 7858855 0.064677 
9475776 3206938 6090161 5615648 0.059599 
15191309 3759541 3722336 6520536 0.080693 
6723382 5177915 4396042 6378696 0.077127 
10313563 2949332 6047599 4770727 0.063527 
17909211 15359227 9928243 17636220 0.260897 
16564285 11912405 15307490 15084965 0.200608 
10794583 2948990 6565662 4832517 0.069065 
4754116 648064 2520188 1246304 0.010257 
7395528 5552743 5575277 6873938 0.087016 
5897490 3456446 2126460 4941426 0.076284 
7889618 791819 7019411 1490461 0.016136 
3080928 482838 1537437 890581 0.010054 
9804310 8158485 2002798 9540359 0.129043 
12634225 3859940 4684170 6166145 0.074164 
10543437 5352113 3593166 7725607 0.099099 
7107722 4098657 3372968 5869755 0.075975 
10418657 5535919 2033953 8137936 0.087159 
7689126 817409 148495 1501281 0.013961 
7726651 7453431 4398160 7719369 0.066987 
8140528 3828143 214414 5947363 0.084932 
9241888 5470818 8785897 7683173 0.117167 
1928577 3792 352542 7582 0.000060 
6755199 546592 1679569 1045377 0.008675 
11126087 8662686 1694880 10446054 0.122182 
4400657 405861 287001 728782 0.008035 
16377017 6072641 1904729 10020142 0.150485 
16491298 11649152 8727673 14803734 0.185537 
16696776 12571925 7271818 15708831 0.182233 
4423428 3723842 559624 4290220 0.052196 
5080308 1290233 3147670 2321049 0.024518 
14322197 12140962 3337244 13984692 0.168745 
16250774 1233689 9013978 2389782 0.025445 
15522325 14493622 6269458 15477180 0.145669 
6648412 4031279 976238 5492253 0.079144 
3565421 1423918 2492249 2304780 0.028719 
19942439 10807823 5426959 16175758 0.202398 
12548159 12327830 9981869 12543793 0.106615 
9001354 8549591 3502938 8969026 0.091471 
2492972 1952805 2276116 2402272 0.031928 
4561852 3341450 3245490 4297672 0.059648 
8375482 1538831 4351443 2744433 0.030786 
7665154 3218669 286531 5296360 0.069908 
10486506 9325635 5961426 10327585 0.114843 
2724790 2429383 1005471 2700936 0.026359 
8323172 5576009 1739345 7484492 0.101177 
16018859 13783661 7852151 15785533 0.173058 
18107280 17289627 1306016 18082309 0.227527 
2146590 2013161 681300 2136890 0.018926 
9725352 6052465 5329327 8447054 0.116011 
19893069 14270341 9921254 18514136 0.280122 
10113083 3589019 2730199 6062685 0.074212 
8189300 7221006 3398638 8107975 0.083023 
14709364 1431841 9422900 2726114 0.032740 
17434154 1228718 14727251 2385269 0.022034 
18273679 927475 13255882 1768473 0.016580 
14292538 9161777 5514496 12479499 0.159959 
4916170 3874146 761574 4714053 0.061599 
7062760 3369209 6446654 5171901 0.083282 
9304465 7838804 5680211 9147738 0.114752 
1713886 1396775 213097 1633040 0.016894 
11826969 3597712 7389360 6098225 0.084352 
12532621 8357453 11729325 11324808 0.151978 
12637289 10150109 12503672 12091146 0.134571 
16734673 8810424 10151526 13023407 0.164431 
7774548 628815 2966825 1209971 0.013146 
12704313 5132822 2546174 8193428 0.099368 
6994949 2144912 150149 3750127 0.040635 
9678468 455228 8722492 885399 0.008560 
18982933 2798570 13098254 5216671 0.058426 
13213171 109005 2473447 215675 0.001504 
5040140 1322185 4578781 2172053 0.025193 
17572761 14933990 5465638 16904602 0.240047 
10210050 4664000 4340654 7622598 0.091100 
19461075 10393114 6944842 14672594 0.202392 
7235624 3917859 1632927 5676329 0.081281 
12456289 5334678 9429955 8193786 0.109572 
